,SSA,PS,C,H,O,N,ASH,pHBC,EC,BCA,SM,T,TS,VS,pHAD,DT,MY,Rmax
214,774.4792,1.8567,39.13,12.8,42.97,4.5,0.6,7,329.0403196,10,29.88,38,8,83,7,30,320.33,23.69
215,0.5916,8.4877,65.61,2.84,28.93,2.16,0.46,7,1.72025268,20,29.88,38,8,83,7,30,309.36,36.78
216,1.009,12.0224,57.43,1.24,39.8,1.38,0.15,7,4.56065199,20,29.88,38,8,83,7,30,291.76,27.83
217,774.4792,1.8567,39.13,12.8,42.97,4.5,0.6,7,335.0144463,20,29.88,38,8,83,7,30,291.42,25.09
218,0.5916,8.4877,65.61,2.84,28.93,2.16,0.46,7,1.97060081,40,29.88,38,8,83,7,30,333.56,36.78
219,1.009,12.0224,57.43,1.24,39.8,1.38,0.15,7,4.69583947,40,29.88,38,8,83,7,30,275.86,24.87
220,774.4792,1.8567,39.13,12.8,42.97,4.5,0.6,7,334.9792139,40,29.88,38,8,83,7,30,283.67,26.79
221,109.2,0.718596,29.53,1.33,6.5,3.75,58.89,8.17,280.8,0.5,0.003024,37,3.1,64,6,50,168.36,8.418
222,209,0.375,68.44716,3.47277,20.97697,0.6529,12.57178,9.26,10.27217342,0.3141553,5,35,21.69,72.01475334,9,20,128,6.4
223,209,0.375,72.9869,3.469006,11.43382,0.47613,31.54674,9.26,10.49007308,0.3141553,25,35,21.69,72.01475334,8.1,55,352,17.6
224,209,0.375,75.65909,3.915544,15.34098,0.49963,12.99295,9.26,24.43332703,0.3141553,50,35,21.69,72.01475334,8.96,40,206.4,10.32
225,211,0.375,89.1,3.424796,11.9954,0.47,12.59127,9.8,19.2303679,0.356590094,5,35,58.23,63.98763524,9.102978723,20,88.814,4.4407
226,211,0.375,89.1,3.36146,12.15252,0.47,32.06091,9.8,19.65912323,0.356590094,25,35,58.23,63.98763524,8.190638298,55,211.9225455,10.59612727
227,211,0.375,89.1,3.694892,12.33917,0.47,12.13189,9.8,37.12186418,0.356590094,50,35,58.23,63.98763524,8.122553191,40,203.7755,10.188775
,53.2,0.625,66.6,6.9,18.5,0.4,5.3,7.3,0.000000078,15,5,35,9.2,88.04,5.01,1,165.44,14.78
,248.6,0.625,74.5,4.8,12.2,0.4,7.8,9.2,0.000101429,15,5,35,9.2,88.04,5.01,1,169.14,19.06
,511.3,0.625,66.6,3.9,10.9,0.4,15,10,68.587,15,5,35,9.2,88.04,5.01,1,152.03,30.502
